YEAR,GDP_Rate,Inflation,IntRate,PrimEducRate,SecEducRate,TerEducRate,MCapRate,Population,Unemployment,Imports,Exports,S&P500,Poverty,President,Senate,House
1975,-0.197678537,9.13,-1.28,89.24,85.19,51.01,41.67152677,215973000,8.46,1.22729E+11,1.38707E+11,0.37,12.3,0,1,1
1976,5.386090051,5.74,1.28,90.11,85.36,54.67,47.0337726,218035000,7.7,1.51146E+11,1.49515E+11,0.2383,11.8,0,1,1
1977,4.608597407,6.49,0.58,90.35,85.41,52.84,39.99317338,220239000,7.06,1.82443E+11,1.5935E+11,-0.0698,11.6,1,1,1
1978,5.561684929,7.65,1.9,90.82,85.1,53.29,36.57691621,222585000,6.07,2.12251E+11,1.86885E+11,0.0651,11.4,1,1,1
1979,3.17569075,11.27,4.07,90.45,78.57,52.5,37.74836322,225055000,5.85,2.52675E+11,2.30129E+11,0.1852,11.7,1,1,1
1980,-0.244596225,13.51,5.73,98.85,90.84,53.45,47.5037703,227225000,7.14,2.93829E+11,2.80773E+11,0.3174,13,1,1,1
1981,2.594470388,10.32,8.72,98.7,89.53,55.52,39.35154203,229466000,7.61,3.17759E+11,3.05239E+11,-0.047,14,0,0,1
1982,-1.910891068,6.16,8.15,100.68,92.75,56.77,43.55363587,231664000,9.69,3.03183E+11,2.83209E+11,0.2042,15,0,0,1
1983,4.632457181,3.21,6.59,99.3,92.92,57.32,49.72419675,233792000,9.61,3.28638E+11,2.76996E+11,0.2234,15.2,0,0,1
1984,7.259086959,4.32,8.2,98.13,94.92,58.13,39.65061686,235825000,7.52,4.05107E+11,3.02383E+11,0.0615,14.4,0,0,1
1985,4.238737521,3.56,6.52,98.35,93.96,57.99,52.93302742,237924000,7.2,4.17228E+11,3.03209E+11,0.3124,14,0,0,1
1986,3.511614499,1.86,6.19,99.82,95.05,59.16,55.29099126,240133000,6.99,4.52867E+11,3.21E+11,0.1849,13.6,0,0,1
1987,3.461747692,3.74,5.51,100.83,95.25,61.8,51.98470007,242289000,6.19,5.08714E+11,3.63944E+11,0.0581,13.4,0,1,1
1990,1.919370297,5.4,6.08,105.16,91.01,70.75,51.73346362,249623000,5.6,6.29729E+11,5.51874E+11,-0.0306,13.5,0,1,1
1991,-0.074084531,4.23,4.97,104.42,90.88,72.55,67.37230693,252981000,6.83,6.23547E+11,5.94932E+11,0.3023,14.2,0,1,1
1993,2.745856719,2.95,3.54,102.96,95.36,78.68,76.33805645,259919000,6.92,7.19974E+11,6.548E+11,0.0997,15.1,1,1,1
1994,4.037643425,2.61,4.91,102.44,96.47,78.31,70.2956914,263126000,6.1,8.13425E+11,7.20939E+11,0.0133,14.5,1,1,1
1995,2.718975789,2.81,6.61,103.88,95.06,78.31,90.70944121,266278000,5.6,9.02571E+11,8.12813E+11,0.372,13.8,1,0,1
1996,3.795881229,2.93,6.33,103.92,94.72,77.78,104.6948958,269394000,5.4,9.63966E+11,8.6759E+11,0.2268,13.7,1,0,0
1998,4.449910963,1.55,7.19,103.94,94.83,70.63,142.1756095,275854000,4.51,1.11569E+12,9.52981E+11,0.2834,12.7,1,0,0
1999,4.685199608,2.19,6.37,103.57,94.04,72.16,152.9651439,279040000,4.22,1.24861E+12,9.9198E+11,0.2089,11.9,1,0,0
2000,4.092176449,3.38,6.8,102.52,93.17,68.14,146.8942697,282162411,3.99,1.47263E+12,1.09684E+12,-0.0903,11.3,1,0,0
2001,0.975981834,2.83,4.54,103,93.95,68.98,131.6503267,284968955,4.73,1.3954E+12,1.02671E+12,-0.1185,11.7,0,1,0
2002,1.786127687,1.59,3.09,100.59,93.29,79.33,100.7006687,287625193,5.78,1.42897E+12,1.00251E+12,-0.2197,12.1,0,1,0
2003,2.806775956,2.27,2.09,100.58,95.01,81.31,123.9394896,290107933,5.99,1.54393E+12,1.04028E+12,0.2836,12.5,0,0,0
2004,3.78574285,2.68,1.55,100,95.5,81.46,132.9842939,292805298,5.53,1.80068E+12,1.18151E+12,0.1074,12.7,0,0,0
2005,3.345216063,3.39,2.88,100.7,95.67,82.08,129.8397757,295516599,5.08,2.03009E+12,1.3089E+12,0.0483,12.6,0,0,0
2006,2.666625826,3.23,4.74,101.6,95.4,82.05,141.2321787,298379912,4.62,2.24726E+12,1.47632E+12,0.1561,12.3,0,0,0
2007,1.77857024,2.85,5.25,102.79,96.07,83.03,137.6072806,301231207,4.62,2.38317E+12,1.66463E+12,0.0548,12.5,0,1,0
2008,-0.291621459,3.84,3.07,103.38,95.98,85.01,78.74588585,304093966,5.78,2.56501E+12,1.84194E+12,-0.3655,13.2,0,1,1
2009,-2.775529574,-0.36,2.47,102.34,95.42,88.58,104.5672977,306771529,9.25,1.98318E+12,1.58774E+12,0.2594,14.3,1,1,1
2010,2.531920616,1.64,2,100.6,94.31,94.23,115.4973405,309346863,9.63,2.36499E+12,1.85234E+12,0.1482,15.1,1,1,1
2011,1.601454672,3.16,1.16,99.9,94.68,96.32,100.7912207,311718857,8.95,2.68637E+12,2.10637E+12,0.021,15,1,1,1
2012,2.224030854,2.07,1.38,99.56,94.98,94.84,115.5557941,314102623,8.07,2.76384E+12,2.19818E+12,0.1589,15,1,1,0
2013,1.67733153,1.46,1.61,99.42,95.93,88.81,143.9944226,316427395,7.38,2.76861E+12,2.27661E+12,0.3215,14.5,1,1,0
2014,2.370457671,1.62,1.43,99.53,97.56,86.66,151.3852312,318907401,6.17,2.88407E+12,2.37528E+12,0.1352,14.8,1,1,0
